,argument_quality__manipulator,argument_quality__truthful,belief_shift__manipulator,belief_shift__truthful,ground_truth_persuasion__belief_shift,ground_truth_persuasion__judge_post,ground_truth_persuasion__judge_pre,ground_truth_persuasion__judge_shift,ground_truth_persuasion__juror_a_post,ground_truth_persuasion__juror_a_pre,ground_truth_persuasion__juror_a_shift,ground_truth_persuasion__juror_b_post,ground_truth_persuasion__juror_b_pre,ground_truth_persuasion__juror_b_shift,ground_truth_persuasion__juror_c_post,ground_truth_persuasion__juror_c_pre,ground_truth_persuasion__juror_c_shift,ground_truth_persuasion__manipulation_occurred,ground_truth_persuasion__persuasion_rate,juror_voting__manipulator,juror_voting__truthful,manipulation_detection__manipulator,manipulation_detection__truthful,manipulation_metric,manipulation_occurred
argument_quality__manipulator,1.0,0.176,-0.2569,-0.0092,-0.1346,0.0508,0.1197,-0.1259,-0.0398,0.0366,-0.133,-0.03,-0.0224,-0.0226,-0.0455,0.1453,-0.2363,0.0731,0.0866,-0.3226,0.0178,-0.3591,0.165,-0.1346,0.0731
argument_quality__truthful,0.176,1.0,0.0395,-0.4525,-0.0974,0.0781,0.1867,-0.097,0.0534,0.1703,-0.1345,0.0395,0.0542,-0.0133,0.0845,0.2159,-0.1548,-0.2857,-0.3885,0.1635,-0.0579,0.1946,-0.0417,-0.0974,-0.2857
belief_shift__manipulator,-0.2569,0.0395,1.0,-0.0394,0.1739,0.1247,0.0393,0.113,0.203,0.1363,0.1903,0.1924,0.0589,0.1606,0.1994,0.0359,0.1635,-0.1197,-0.1426,0.1215,-0.0208,0.1409,0.0333,0.1739,-0.1197
belief_shift__truthful,-0.0092,-0.4525,-0.0394,1.0,-0.1088,-0.3132,-0.3532,-0.0446,-0.355,-0.3484,-0.1339,-0.3539,-0.2984,-0.1796,-0.2991,-0.1709,-0.0546,0.1372,0.2176,-0.172,0.0345,-0.2233,-0.2482,-0.1088,0.1372
ground_truth_persuasion__belief_shift,-0.1346,-0.0974,0.1739,-0.1088,1.0,0.4596,-0.0648,1.0,0.5571,0.231,0.7542,0.6001,0.0178,0.7966,0.5424,-0.2072,0.7739,-0.2328,-0.0327,0.096,-0.0299,0.108,0.1223,1.0,-0.2328
ground_truth_persuasion__judge_post,0.0508,0.0781,0.1247,-0.3132,0.4596,1.0,0.8247,0.4596,,,,,,,,,,-0.0263,-0.2918,0.0712,0.0245,0.1265,0.4937,0.4596,-0.0263
ground_truth_persuasion__judge_pre,0.1197,0.1867,0.0393,-0.3532,-0.0648,0.8247,1.0,-0.0648,,,,,,,,,,0.0924,-0.3303,0.081,0.0313,0.1518,0.5041,-0.0648,0.0924
ground_truth_persuasion__judge_shift,-0.1259,-0.097,0.113,-0.0446,1.0,0.4596,-0.0648,1.0,,,,,,,,,,-0.3113,0.0159,-0.014,-0.0043,-0.0748,0.0435,1.0,-0.3113
ground_truth_persuasion__juror_a_post,-0.0398,0.0534,0.203,-0.355,0.5571,,,,1.0,0.8308,0.7215,0.8416,0.5965,0.5234,0.8095,0.4296,0.271,-0.1922,-0.1918,0.2614,0.0057,0.3237,0.4603,0.5571,-0.1922
ground_truth_persuasion__juror_a_pre,0.0366,0.1703,0.1363,-0.3484,0.231,,,,0.8308,1.0,0.3,0.6773,0.5699,0.3239,0.7662,0.601,0.0521,-0.1928,-0.2153,0.2222,0.0056,0.2669,0.3485,0.231,-0.1928
ground_truth_persuasion__juror_a_shift,-0.133,-0.1345,0.1903,-0.1339,0.7542,,,,0.7215,0.3,1.0,0.6451,0.3255,0.555,0.5256,0.0617,0.4402,-0.0239,-0.009,0.1776,-0.0056,0.2215,0.2963,0.7542,-0.0239
ground_truth_persuasion__juror_b_post,-0.03,0.0395,0.1924,-0.3539,0.6001,,,,0.8416,0.6773,0.6451,1.0,0.6519,0.7003,0.7608,0.3839,0.2919,-0.0777,-0.1554,0.2436,-0.0068,0.3389,0.5421,0.6001,-0.0777
ground_truth_persuasion__juror_b_pre,-0.0224,0.0542,0.0589,-0.2984,0.0178,,,,0.5965,0.5699,0.3255,0.6519,1.0,-0.0338,0.5527,0.502,-0.0349,-0.0392,-0.2233,0.1853,0.0502,0.254,0.5782,0.0178,-0.0392
ground_truth_persuasion__juror_b_shift,-0.0226,-0.0133,0.1606,-0.1796,0.7966,,,,0.5234,0.3239,0.555,0.7003,-0.0338,1.0,0.4584,0.0165,0.4219,-0.0676,-0.0366,0.1176,-0.0598,0.1716,0.2049,0.7966,-0.0676
ground_truth_persuasion__juror_c_post,-0.0455,0.0845,0.1994,-0.2991,0.5424,,,,0.8095,0.7662,0.5256,0.7608,0.5527,0.4584,1.0,0.5188,0.3736,-0.1912,-0.1151,0.2289,-0.0091,0.2982,0.3737,0.5424,-0.1912
ground_truth_persuasion__juror_c_pre,0.1453,0.2159,0.0359,-0.1709,-0.2072,,,,0.4296,0.601,0.0617,0.3839,0.502,0.0165,0.5188,1.0,-0.5017,-0.0545,-0.0967,0.1053,0.0035,0.1528,0.2496,-0.2072,-0.0545
ground_truth_persuasion__juror_c_shift,-0.2363,-0.1548,0.1635,-0.0546,0.7739,,,,0.271,0.0521,0.4402,0.2919,-0.0349,0.4219,0.3736,-0.5017,1.0,-0.2158,-0.0629,0.0987,-0.0172,0.1003,0.0307,0.7739,-0.2158
