model,frame,incentive,difficulty,task,sample_id,refusal_hits,n_assistant_turns,any_refusal,sample_failed
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r00,2,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r01,4,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r02,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r03,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r04,2,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r05,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r06,2,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r07,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r08,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r09,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r10,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r11,2,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r12,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r13,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r14,2,14,1,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r15,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r16,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r17,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r18,0,14,0,0
Claude-Opus-4.7,minimal,0,high,bargaining,t1_claude-opus-4.7_minimal_E000_high_r19,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r00,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r01,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r02,2,14,1,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r03,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r04,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r05,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r06,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r07,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r08,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r09,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r10,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r11,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r12,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r13,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r14,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r15,2,14,1,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r16,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r17,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r18,0,14,0,0
Claude-Opus-4.7,minimal,0,low,bargaining,t1_claude-opus-4.7_minimal_E000_low_r19,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r00,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r01,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r02,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r03,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r04,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r05,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r06,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r07,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r08,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r09,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r10,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r11,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r12,2,14,1,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r13,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r14,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r15,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r16,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r17,0,14,0,0
Claude-Opus-4.7,minimal,0,medium,bargaining,t1_claude-opus-4.7_minimal_E000_medium_r18,0,14,0,0
