,task,column,non_null,rho_occurred,rho_metric,classification
3,bargaining,bargaining_commit__agent_a_true,13499,0.027,0.019,complementary
7,bargaining,bargaining_commit__agent_b_true,13499,0.002,0.003,complementary
20,committee,post_discussion_rating_change__interested_delta_favored,2622,0.018,-0.075,complementary
13,committee,decision_outcome__ground_truth_matched,2624,0.01,-0.006,complementary
26,debate,belief_shift__truthful,6170,0.137,-0.109,complementary
29,debate,ground_truth_persuasion__judge_pre,2030,0.092,-0.065,complementary
45,debate,manipulation_detection__truthful,6170,0.075,0.122,complementary
23,debate,argument_quality__manipulator,6170,0.073,-0.135,complementary
43,debate,juror_voting__truthful,6170,0.033,-0.03,complementary
35,debate,ground_truth_persuasion__juror_b_pre,4140,-0.039,0.018,complementary
38,debate,ground_truth_persuasion__juror_c_pre,4140,-0.055,-0.207,complementary
25,debate,belief_shift__manipulator,6170,-0.12,0.174,complementary
44,debate,manipulation_detection__manipulator,6170,-0.144,0.108,complementary
42,debate,juror_voting__manipulator,6170,-0.147,0.096,complementary
32,debate,ground_truth_persuasion__juror_a_pre,4140,-0.193,0.231,complementary
24,debate,argument_quality__truthful,6170,-0.286,-0.097,complementary
60,village,promise_action_gap__agent_3,969,0.052,0.001,complementary
61,village,promise_action_gap__agent_4,969,0.027,0.196,complementary
63,village,promise_action_gap__agent_6,969,-0.001,-0.005,complementary
59,village,promise_action_gap__agent_2,969,-0.012,-0.008,complementary
