model,prohibitive,pro_social,minimal,selfish,permissive
GPT-5.5,-0.0448,0.0333,-0.0238,-0.0052,0.0398
Claude-Opus-4.7,-0.0462,0.0319,0.0327,0.0006,-0.0197
Gemini-3.1-Pro,0.0045,0.0174,-0.0325,0.0296,-0.0197
DeepSeek-V4-Pro,0.032,-0.0493,-0.005,0.0209,0.0006
gpt54mini,0.0349,0.0188,-0.0021,-0.0414,-0.011
Grok-4,0.0045,0.0101,-0.0036,0.0224,-0.0341
gpt54nano,0.0161,-0.0362,0.008,0.0122,-0.0008
gpt41,,,,0.0142,-0.0072
gpt41nano,0.0272,-0.0251,0.0192,-0.0226,
Llama-3.3-70B,-0.0346,-0.0073,0.0008,0.0122,0.0282
