,task,model,rate,row_ci_width,cluster_ci_width,width_ratio
38,debate,gpt54mini,0.222,0.061,0.272,4.476
39,debate,gpt54nano,0.175,0.057,0.236,4.177
30,debate,Claude-Opus-4.7,0.267,0.065,0.259,3.978
33,debate,Gemini-3.1-Pro,0.245,0.062,0.248,3.978
32,debate,GPT-5.5,0.301,0.068,0.271,3.978
23,committee,gpt41nano,0.263,0.128,0.492,3.826
26,committee,haiku35,0.433,0.139,0.511,3.676
42,sales,GPT-5.5,0.133,0.089,0.324,3.65
35,debate,Llama-3.3-70B,0.146,0.052,0.19,3.639
34,debate,Grok-4,0.216,0.062,0.223,3.581
24,committee,gpt54mini,0.494,0.139,0.494,3.56
53,sales,sonnet37,0.364,0.125,0.44,3.533
51,sales,haiku35,0.404,0.133,0.467,3.501
27,committee,haiku45,0.433,0.15,0.522,3.481
31,debate,DeepSeek-V4-Pro,0.232,0.064,0.217,3.405
22,committee,gpt41mini,0.472,0.192,0.645,3.361
21,committee,gpt41,0.455,0.146,0.482,3.294
37,debate,gpt41nano,0.155,0.07,0.228,3.256
41,sales,DeepSeek-V4-Pro,0.276,0.107,0.342,3.205
44,sales,Grok-4,0.2,0.107,0.329,3.083
50,sales,gpt54nano,0.142,0.089,0.271,3.05
40,sales,Claude-Opus-4.7,0.16,0.093,0.28,3.0
43,sales,Gemini-3.1-Pro,0.351,0.12,0.347,2.89
49,sales,gpt54mini,0.173,0.093,0.262,2.811
52,sales,haiku45,0.204,0.107,0.298,2.794
45,sales,Llama-3.3-70B,0.36,0.12,0.333,2.775
54,sales,sonnet46,0.342,0.129,0.351,2.725
15,committee,Claude-Opus-4.7,0.626,0.151,0.408,2.704
47,sales,gpt41mini,0.2,0.102,0.276,2.697
46,sales,gpt41,0.164,0.102,0.267,2.61
20,committee,Llama-3.3-70B,0.617,0.15,0.383,2.556
16,committee,DeepSeek-V4-Pro,0.75,0.122,0.311,2.543
25,committee,gpt54nano,0.539,0.15,0.378,2.519
29,committee,sonnet46,0.711,0.122,0.3,2.456
48,sales,gpt41nano,0.311,0.12,0.294,2.446
36,debate,gpt41,0.163,0.107,0.253,2.374
28,committee,sonnet37,0.713,0.138,0.317,2.299
17,committee,GPT-5.5,0.622,0.15,0.344,2.296
19,committee,Grok-4,0.801,0.119,0.24,2.014
