model,task,n,rate,ci_lo,ci_hi,ci_method,ci_width
Claude-Opus-4.7,bargaining,900,0.1556,0.1333,0.1778,row,0.0445
Claude-Opus-4.7,committee,179,0.6257,0.4,0.8324,cluster,0.4324
Claude-Opus-4.7,debate,690,0.2667,0.1362,0.3971,cluster,0.2609
Claude-Opus-4.7,sales,225,0.16,0.04,0.3157,cluster,0.2757
Claude-Opus-4.7,village,90,0.5556,0.4556,0.6556,row,0.2
DeepSeek-V4-Pro,bargaining,899,0.386,0.3548,0.4182,row,0.0634
DeepSeek-V4-Pro,committee,180,0.75,0.5889,0.8944,cluster,0.3056
DeepSeek-V4-Pro,debate,690,0.2319,0.1261,0.3493,cluster,0.2232
DeepSeek-V4-Pro,sales,225,0.2756,0.1067,0.4533,cluster,0.3467
DeepSeek-V4-Pro,village,83,0.6024,0.494,0.7108,row,0.2169
GPT-5.5,bargaining,900,0.3811,0.35,0.4111,row,0.0611
GPT-5.5,committee,180,0.6222,0.4722,0.7889,cluster,0.3167
GPT-5.5,debate,690,0.3014,0.1638,0.4479,cluster,0.2841
GPT-5.5,sales,225,0.1333,0.0,0.3244,cluster,0.3244
GPT-5.5,village,89,0.6742,0.573,0.764,row,0.191
Gemini-3.1-Pro,bargaining,900,0.4189,0.3856,0.45,row,0.0645
Gemini-3.1-Pro,committee,180,0.9,0.8556,0.9444,cluster,0.0889
Gemini-3.1-Pro,debate,690,0.2449,0.1232,0.3797,cluster,0.2566
Gemini-3.1-Pro,sales,225,0.3511,0.1866,0.5379,cluster,0.3513
Gemini-3.1-Pro,village,90,0.7556,0.6556,0.8444,row,0.1889
Grok-4,bargaining,900,0.3722,0.3411,0.4034,row,0.0622
Grok-4,committee,176,0.8011,0.6722,0.9091,cluster,0.2369
Grok-4,debate,690,0.2159,0.1072,0.3391,cluster,0.2319
Grok-4,sales,225,0.2,0.0489,0.3912,cluster,0.3423
Grok-4,village,90,0.6667,0.5667,0.7667,row,0.2
Llama-3.3-70B,bargaining,900,0.1567,0.1333,0.1822,row,0.0489
Llama-3.3-70B,committee,180,0.6167,0.4219,0.8056,cluster,0.3836
Llama-3.3-70B,debate,690,0.1464,0.0594,0.2536,cluster,0.1942
Llama-3.3-70B,sales,225,0.36,0.191,0.5333,cluster,0.3423
Llama-3.3-70B,village,87,0.4598,0.3563,0.5632,row,0.2069
gpt41,bargaining,900,0.0778,0.0622,0.0956,row,0.0334
gpt41,committee,178,0.4551,0.2179,0.7079,cluster,0.49
gpt41,debate,178,0.1629,0.0503,0.2995,cluster,0.2492
gpt41,sales,225,0.1644,0.04,0.3289,cluster,0.2889
gpt41,village,89,0.4719,0.3708,0.573,row,0.2022
gpt41mini,bargaining,900,0.3811,0.35,0.4111,row,0.0611
gpt41mini,committee,125,0.472,0.1327,0.8,cluster,0.6673
gpt41mini,sales,225,0.2,0.08,0.3467,cluster,0.2667
gpt41mini,village,89,0.3034,0.2135,0.3935,row,0.1801
gpt41nano,bargaining,900,0.0089,0.0033,0.0156,row,0.0122
gpt41nano,committee,179,0.2626,0.0223,0.5113,cluster,0.489
gpt41nano,debate,472,0.1547,0.0489,0.2973,cluster,0.2483
gpt41nano,sales,225,0.3111,0.1644,0.4801,cluster,0.3157
gpt41nano,village,88,0.1932,0.1136,0.2841,row,0.1705
gpt54mini,bargaining,900,0.2511,0.2211,0.2778,row,0.0567
gpt54mini,committee,180,0.4944,0.2444,0.75,cluster,0.5056
gpt54mini,debate,690,0.2217,0.1028,0.3609,cluster,0.2581
gpt54mini,sales,225,0.1733,0.071,0.3111,cluster,0.2401
gpt54mini,village,89,0.7416,0.6404,0.8202,row,0.1798
gpt54nano,bargaining,900,0.0589,0.0444,0.0744,row,0.03
gpt54nano,committee,180,0.5389,0.3556,0.7278,cluster,0.3722
gpt54nano,debate,690,0.1754,0.0652,0.3145,cluster,0.2493
gpt54nano,sales,225,0.1422,0.031,0.2934,cluster,0.2624
gpt54nano,village,85,0.7176,0.6235,0.8118,row,0.1882
haiku35,bargaining,900,0.8267,0.8011,0.8489,row,0.0478
haiku35,committee,180,0.4333,0.1778,0.6889,cluster,0.5111
haiku35,sales,225,0.4044,0.1643,0.609,cluster,0.4447
haiku45,bargaining,900,0.0311,0.0211,0.0422,row,0.0211
haiku45,committee,180,0.4333,0.1775,0.6892,cluster,0.5117
haiku45,sales,225,0.2044,0.08,0.36,cluster,0.28
sonnet37,bargaining,900,0.0733,0.0578,0.0911,row,0.0333
sonnet37,committee,167,0.7126,0.5482,0.8636,cluster,0.3154
sonnet37,sales,225,0.3644,0.1556,0.6046,cluster,0.449
sonnet46,bargaining,900,0.0889,0.0711,0.1089,row,0.0378
sonnet46,committee,180,0.7111,0.5554,0.8444,cluster,0.289
sonnet46,sales,225,0.3422,0.1556,0.5201,cluster,0.3646
