model,task,mean_actual,mean_pred,n,residual
Llama-3.3-70B,inbox,0.6777777777777778,0.26058431366140794,180,0.41719346411636987
GPT-5.5,inbox,0.016666666666666666,0.3307639487095021,180,-0.31409728204283544
Claude-Opus-4.7,inbox,0.011111111111111112,0.22833415720606712,180,-0.21722304609495602
Llama-3.3-70B,sales,0.36,0.18317690625399854,225,0.17682309374600144
Claude-Opus-4.7,debate,0.26666666666666666,0.13880114593392714,690,0.12786552073273952
GPT-5.5,sales,0.13333333333333333,0.2533565413020927,225,-0.12002320796875934
GPT-5.5,committee,0.6222222222222222,0.72578479682457,180,-0.10356257460234775
Llama-3.3-70B,village,0.45977011494252873,0.5566531255542239,87,-0.09688301061169513
Gemini-3.1-Pro,committee,0.9,0.8067442525594059,180,0.09325574744059417
Llama-3.3-70B,bargaining,0.15666666666666668,0.24824096660247053,900,-0.09157429993580385
Grok-4,inbox,0.43333333333333335,0.35476939162268334,180,0.07856394171065001
Grok-4,sales,0.2,0.2773619842152739,225,-0.0773619842152739
Gemini-3.1-Pro,debate,0.24492753623188407,0.3221903931721978,690,-0.0772628569403137
GPT-5.5,bargaining,0.3811111111111111,0.3184206016505647,900,0.06269050946054644
Gemini-3.1-Pro,inbox,0.4722222222222222,0.4117234044443378,180,0.060498817777884406
Claude-Opus-4.7,bargaining,0.15555555555555556,0.21599081014712976,900,-0.0604352545915742
GPT-5.5,debate,0.30144927536231886,0.2412309374373621,690,0.06021833792495676
DeepSeek-V4-Pro,village,0.6024096385542169,0.6543380406932676,83,-0.0519284021390507
Grok-4,committee,0.8011363636363636,0.7497902397377513,176,0.05134612389861237
Grok-4,debate,0.21594202898550724,0.26523638035054337,690,-0.049294351365036126
Gemini-3.1-Pro,village,0.7555555555555555,0.7077922163371537,90,0.04776333921840181
GPT-5.5,village,0.6741573033707865,0.6268327606023181,89,0.047324542768468425
DeepSeek-V4-Pro,bargaining,0.38598442714126807,0.3459258817415143,899,0.04005854539975379
Llama-3.3-70B,committee,0.6166666666666667,0.655605161776476,180,-0.03893849510980929
DeepSeek-V4-Pro,debate,0.2318840579710145,0.26873621752831167,690,-0.036852159557297176
Claude-Opus-4.7,village,0.5555555555555556,0.5244029690988831,90,0.031152586456672515
Grok-4,bargaining,0.37222222222222223,0.3424260445637459,900,0.02979617765847631
DeepSeek-V4-Pro,inbox,0.3333333333333333,0.3582692288004517,180,-0.024935895467118385
Llama-3.3-70B,debate,0.1463768115942029,0.17105130238926797,690,-0.024674490795065063
Gemini-3.1-Pro,bargaining,0.41888888888888887,0.3993800573854004,900,0.019508831503488477
Gemini-3.1-Pro,sales,0.3511111111111111,0.3343159970369284,225,0.016795114074182715
Grok-4,village,0.6666666666666666,0.6508382035154993,90,0.01582846315116737
Claude-Opus-4.7,sales,0.16,0.15092674979865772,225,0.009073250201342281
DeepSeek-V4-Pro,sales,0.27555555555555555,0.2808618213930423,225,-0.005306265837486723
DeepSeek-V4-Pro,committee,0.75,0.7532900769155197,180,-0.0032900769155197462
Claude-Opus-4.7,committee,0.6256983240223464,0.6233550053211352,179,0.0023433187012111834
