task,model,n,any_refusal_rate,mean_refusal_hits,sample_failed_rate
bargaining,Llama-3.3-70B,900,0.15888888888888889,0.3622222222222222,0.0
bargaining,Claude-Opus-4.7,900,0.12666666666666668,0.28888888888888886,0.0
bargaining,Gemini-3.1-Pro,900,0.08444444444444445,0.19333333333333333,0.0
bargaining,DeepSeek-v3.2,900,0.08,0.17333333333333334,0.0
bargaining,Grok-4,900,0.042222222222222223,0.10666666666666667,0.0
bargaining,GPT-5,900,0.014444444444444444,0.03111111111111111,0.0
committee,Gemini-3.1-Pro,180,0.1388888888888889,0.32222222222222224,0.0
committee,Claude-Opus-4.7,180,0.12777777777777777,0.3111111111111111,0.0
committee,DeepSeek-v3.2,180,0.08333333333333333,0.18333333333333332,0.0
committee,GPT-5,180,0.07777777777777778,0.15555555555555556,0.0
committee,Grok-4,180,0.07777777777777778,0.17777777777777778,0.0
committee,Llama-3.3-70B,180,0.07222222222222222,0.15555555555555556,0.0
debate,Grok-4,690,0.3927536231884058,1.3217391304347825,0.0
debate,Claude-Opus-4.7,690,0.391304347826087,1.6231884057971016,0.0
debate,DeepSeek-v3.2,690,0.336231884057971,1.008695652173913,0.0
debate,Llama-3.3-70B,690,0.3173913043478261,0.9884057971014493,0.0
debate,Gemini-3.1-Pro,690,0.30869565217391304,0.9101449275362319,0.0
debate,GPT-5,690,0.3,0.9188405797101449,0.0
inbox,Claude-Opus-4.7,180,0.0,0.0,0.0
inbox,DeepSeek-v3.2,180,0.0,0.0,0.0
inbox,GPT-5,180,0.0,0.0,0.0
inbox,Gemini-3.1-Pro,180,0.0,0.0,0.0
inbox,Grok-4,180,0.0,0.0,0.0
inbox,Llama-3.3-70B,180,0.0,0.0,0.0
sales,Claude-Opus-4.7,225,0.36444444444444446,0.4488888888888889,0.0
sales,Grok-4,225,0.035555555555555556,0.035555555555555556,0.0
sales,DeepSeek-v3.2,225,0.017777777777777778,0.017777777777777778,0.0
sales,Gemini-3.1-Pro,225,0.013333333333333334,0.013333333333333334,0.0
sales,GPT-5,225,0.0,0.0,0.0
sales,Llama-3.3-70B,225,0.0,0.0,0.0
village,DeepSeek-v3.2,90,0.5,1.9111111111111112,0.0
village,Claude-Opus-4.7,90,0.23333333333333334,0.6,0.0
village,Grok-4,90,0.18888888888888888,0.5111111111111111,0.0
village,Gemini-3.1-Pro,90,0.17777777777777778,0.8,0.0
village,Llama-3.3-70B,90,0.07777777777777778,0.18888888888888888,0.0
village,GPT-5,90,0.044444444444444446,0.08888888888888889,0.0
