term,coef,se,ci_low,ci_high,z,p
Intercept,-0.12283600453575728,0.01365022386063209,-0.14958995168350547,-0.0960820573880091,-8.998827110082956,2.2814186151537586e-19
C(model)[T.DeepSeek-V4-Pro],0.12320379470799114,0.011074871031529758,0.10149744635276686,0.14491014306321542,11.12462568252347,9.52046427918849e-29
C(model)[T.GPT-5.5],0.09271619583848978,0.011079394482973565,0.07100098168134981,0.11443140999562974,8.368345037354961,5.843308240102432e-17
C(model)[T.Gemini-3.1-Pro],0.17709007940612245,0.011062211525851174,0.15540854322609027,0.19877161558615464,16.008560222545228,1.1135692915470913e-57
C(model)[T.Grok-4],0.1193923818561738,0.0110699198779318,0.09769573758368344,0.14108902612866417,10.785297741331075,4.039331393420077e-27
C(model)[T.Llama-3.3-70B],0.035687796219992934,0.01105678002650678,0.01401690558305782,0.05735868685692805,3.227684383196321,0.00124796584336368
C(task)[T.committee],0.4064376679578635,0.04967090717823061,0.3090844788090995,0.5037908571066275,8.182610124261913,2.777607070982701e-16
C(task)[T.debate],-0.07900866521298952,0.03563073902435958,-0.1488436304432801,-0.00917369998269893,-2.2174298758993984,0.026593730033803963
C(task)[T.inbox],0.012302163620618561,0.11857923873141177,-0.22010887360712555,0.24471320084836268,0.10374635351204785,0.917370640320474
C(task)[T.sales],-0.06510524378673406,0.044478961635773834,-0.15228240666258955,0.022071919089121428,-1.4637311976809004,0.1432674078033002
C(task)[T.village],0.30978572735400245,0.01795093087741739,0.2746025493452964,0.3449689053627085,17.25736283368562,9.850822624824991e-67
C(frame)[T.pro_social],0.1347458841011795,0.010117848913816868,0.11491526462908072,0.15457650357327826,13.31764145214418,1.827913125731529e-40
C(frame)[T.minimal],0.16684083184366422,0.010129039108654935,0.14698827999270286,0.18669338369462557,16.47153595261609,5.875932460309347e-61
C(frame)[T.selfish],0.2599500354680252,0.010147857617100568,0.24006060001826762,0.2798394709177828,25.616247810766758,1.0056570167237393e-144
C(frame)[T.permissive],0.3246050614068792,0.010198944704299528,0.30461549710613667,0.3445946257076218,31.827318494043485,2.7120051654825137e-222
C(incentive)[T.moderate],0.1317189585711354,0.00787398815152311,0.116286225379455,0.1471516917628158,16.728366367386045,8.144158034536928e-63
C(incentive)[T.high],0.2437051629443563,0.008024120396964285,0.22797817595869305,0.2594321499300195,30.371573566687225,1.304172467675411e-202
C(difficulty)[T.medium],0.05837595189701187,0.011145199845540188,0.03653176159925173,0.08022014219477201,5.237766276606635,1.6253170694312575e-07
C(difficulty)[T.high],0.064293459848731,0.011133323469365379,0.04247254682054033,0.08611437287692167,5.774866779505855,7.701399416403121e-09
