,task,column,non_null,rho_occurred,rho_metric,classification
3,bargaining,bargaining_commit__agent_a_true,13499,0.027,0.019,complementary
7,bargaining,bargaining_commit__agent_b_true,13499,0.002,0.003,complementary
1,bargaining,bargaining_commit__agent_a_lied,13499,0.844,0.887,partial
4,bargaining,bargaining_commit__agent_b_deviation,13499,0.798,0.833,partial
0,bargaining,bargaining_commit__agent_a_deviation,13499,0.749,0.801,partial
6,bargaining,bargaining_commit__agent_b_stated,13499,0.59,0.602,partial
2,bargaining,bargaining_commit__agent_a_stated,13499,0.546,0.567,partial
8,bargaining,bargaining_commit__manipulation_occurred,13499,1.0,0.991,redundant
9,bargaining,bargaining_commit__manipulation_rate,13499,0.991,1.0,redundant
10,bargaining,bargaining_commit__mean_deviation,13499,0.957,0.96,redundant
5,bargaining,bargaining_commit__agent_b_lied,13499,0.903,0.926,redundant
20,committee,post_discussion_rating_change__interested_delta_favored,2622,0.018,-0.075,complementary
13,committee,decision_outcome__ground_truth_matched,2624,0.01,-0.006,complementary
12,committee,decision_outcome__favored_won,2624,0.575,0.628,partial
16,committee,discussion_polarity__polarity_gap_neutrals,2624,0.567,0.565,partial
15,committee,discussion_polarity__polarity_gap_interested,2624,0.559,0.568,partial
14,committee,discussion_polarity__polarity_favored_interested,2624,0.505,0.515,partial
21,committee,post_discussion_rating_change__mean_neutral_delta_favored,2624,0.5,0.497,partial
22,committee,post_discussion_rating_change__neutral_shift_toward_interested,2622,0.338,0.281,partial
17,committee,discussion_polarity__polarity_matched_interested,2624,-0.343,-0.358,partial
11,committee,decision_outcome__favored_rank,2624,-0.663,-0.698,partial
19,committee,initial_rating_bias__manipulation_occurred,2624,1.0,0.852,redundant
18,committee,initial_rating_bias__initial_bias,2624,0.852,1.0,redundant
26,debate,belief_shift__truthful,6170,0.137,-0.109,complementary
29,debate,ground_truth_persuasion__judge_pre,2030,0.092,-0.065,complementary
45,debate,manipulation_detection__truthful,6170,0.075,0.122,complementary
23,debate,argument_quality__manipulator,6170,0.073,-0.135,complementary
43,debate,juror_voting__truthful,6170,0.033,-0.03,complementary
35,debate,ground_truth_persuasion__juror_b_pre,4140,-0.039,0.018,complementary
38,debate,ground_truth_persuasion__juror_c_pre,4140,-0.055,-0.207,complementary
25,debate,belief_shift__manipulator,6170,-0.12,0.174,complementary
44,debate,manipulation_detection__manipulator,6170,-0.144,0.108,complementary
42,debate,juror_voting__manipulator,6170,-0.147,0.096,complementary
32,debate,ground_truth_persuasion__juror_a_pre,4140,-0.193,0.231,complementary
24,debate,argument_quality__truthful,6170,-0.286,-0.097,complementary
41,debate,ground_truth_persuasion__persuasion_rate,6170,0.566,-0.033,partial
33,debate,ground_truth_persuasion__juror_a_shift,4140,-0.024,0.754,partial
28,debate,ground_truth_persuasion__judge_post,2030,-0.026,0.46,partial
36,debate,ground_truth_persuasion__juror_b_shift,4140,-0.068,0.797,partial
34,debate,ground_truth_persuasion__juror_b_post,4140,-0.078,0.6,partial
37,debate,ground_truth_persuasion__juror_c_post,4140,-0.191,0.542,partial
31,debate,ground_truth_persuasion__juror_a_post,4140,-0.192,0.557,partial
39,debate,ground_truth_persuasion__juror_c_shift,4140,-0.216,0.774,partial
40,debate,ground_truth_persuasion__manipulation_occurred,6170,1.0,-0.233,redundant
27,debate,ground_truth_persuasion__belief_shift,6170,-0.233,1.0,redundant
30,debate,ground_truth_persuasion__judge_shift,2030,-0.311,1.0,redundant
47,sales,sales_classifier__false_rate,3375,0.872,0.886,partial
50,sales,sales_classifier__misleading_rate,3375,0.614,0.668,partial
48,sales,sales_classifier__manipulation_occurred,3375,1.0,0.99,redundant
49,sales,sales_classifier__manipulation_rate,3375,0.99,1.0,redundant
46,sales,sales_classifier__accurate_rate,3375,-0.99,-1.0,redundant
60,village,promise_action_gap__agent_3,969,0.052,0.001,complementary
61,village,promise_action_gap__agent_4,969,0.027,0.196,complementary
63,village,promise_action_gap__agent_6,969,-0.001,-0.005,complementary
59,village,promise_action_gap__agent_2,969,-0.012,-0.008,complementary
58,village,promise_action_gap__agent_1,969,0.618,0.541,partial
64,village,village_fairness__detection_rate,969,0.297,0.479,partial
65,village,village_fairness__gini,969,0.232,0.578,partial
54,village,exploitation_rate__agent_4,969,-0.046,0.573,partial
53,village,exploitation_rate__agent_3,969,-0.047,0.604,partial
52,village,exploitation_rate__agent_2,969,-0.053,0.571,partial
56,village,exploitation_rate__agent_6,969,-0.058,0.572,partial
55,village,exploitation_rate__agent_5,969,-0.208,0.51,partial
62,village,promise_action_gap__agent_5,969,-0.398,-0.094,partial
57,village,exploitation_rate__manipulation_occurred,969,1.0,0.425,redundant
51,village,exploitation_rate__agent_1,969,0.425,1.0,redundant
