model,task,n,rate,ci_lo,ci_hi,ci_method,ci_width
Claude-Opus-4.7,bargaining,900,0.1556,0.1322,0.1789,row,0.0467
Claude-Opus-4.7,committee,179,0.6257,0.4044,0.8315,cluster,0.427
Claude-Opus-4.7,debate,690,0.2667,0.1376,0.4043,cluster,0.2667
Claude-Opus-4.7,sales,225,0.16,0.0444,0.3246,cluster,0.2801
Claude-Opus-4.7,village,90,0.5556,0.4444,0.6556,row,0.2111
DeepSeek-V4-Pro,bargaining,899,0.386,0.3581,0.4194,row,0.0612
DeepSeek-V4-Pro,committee,180,0.75,0.5889,0.8889,cluster,0.3
DeepSeek-V4-Pro,debate,690,0.2319,0.1217,0.342,cluster,0.2203
DeepSeek-V4-Pro,sales,225,0.2756,0.12,0.4578,cluster,0.3378
DeepSeek-V4-Pro,village,83,0.6024,0.494,0.7108,row,0.2169
GPT-5.5,bargaining,900,0.3811,0.3489,0.4122,row,0.0634
GPT-5.5,committee,180,0.6222,0.4611,0.7889,cluster,0.3278
GPT-5.5,debate,690,0.3014,0.1725,0.429,cluster,0.2565
GPT-5.5,sales,225,0.1333,0.0,0.3244,cluster,0.3244
GPT-5.5,village,89,0.6742,0.573,0.764,row,0.191
Gemini-3.1-Pro,bargaining,900,0.4189,0.3855,0.4511,row,0.0656
Gemini-3.1-Pro,committee,180,0.9,0.8556,0.9444,cluster,0.0889
Gemini-3.1-Pro,debate,690,0.2449,0.1333,0.3682,cluster,0.2349
Gemini-3.1-Pro,sales,225,0.3511,0.1866,0.5333,cluster,0.3468
Gemini-3.1-Pro,village,90,0.7556,0.6667,0.8444,row,0.1778
Grok-4,bargaining,900,0.3722,0.34,0.4056,row,0.0656
Grok-4,committee,176,0.8011,0.6782,0.9143,cluster,0.2361
Grok-4,debate,690,0.2159,0.1087,0.3363,cluster,0.2276
Grok-4,sales,225,0.2,0.0444,0.3779,cluster,0.3334
Grok-4,village,90,0.6667,0.5667,0.7667,row,0.2
Llama-3.3-70B,bargaining,900,0.1567,0.1333,0.1789,row,0.0456
Llama-3.3-70B,committee,180,0.6167,0.4221,0.8056,cluster,0.3835
Llama-3.3-70B,debate,690,0.1464,0.0637,0.2507,cluster,0.187
Llama-3.3-70B,sales,225,0.36,0.2,0.5378,cluster,0.3378
Llama-3.3-70B,village,87,0.4598,0.3563,0.5632,row,0.2069
