,model_a,model_b,n_scenarios,rate_a_paired,rate_b_paired,mean_delta,ci_lo,ci_hi,frac_a_higher,frac_tied,significant
0,Claude-Opus-4.7,DeepSeek-V4-Pro,345,0.2667,0.2319,0.0348,-0.0015,0.0711,0.1768,0.6899,False
1,Claude-Opus-4.7,GPT-5.5,345,0.2667,0.3014,-0.0348,-0.0739,0.0058,0.142,0.6754,False
2,Claude-Opus-4.7,Gemini-3.1-Pro,345,0.2667,0.2449,0.0217,-0.013,0.0551,0.1623,0.7159,False
3,Claude-Opus-4.7,Grok-4,345,0.2667,0.2159,0.0507,0.0101,0.0928,0.2145,0.6348,True
4,Claude-Opus-4.7,Llama-3.3-70B,345,0.2667,0.1464,0.1203,0.0753,0.1696,0.2725,0.6029,True
5,Claude-Opus-4.7,gpt41,97,0.2577,0.1701,0.0876,0.0,0.1754,0.2577,0.5979,False
6,Claude-Opus-4.7,gpt41nano,237,0.2722,0.154,0.1181,0.0632,0.173,0.2363,0.6667,True
7,Claude-Opus-4.7,gpt54mini,345,0.2667,0.2217,0.0449,0.0014,0.0884,0.2145,0.6319,True
8,Claude-Opus-4.7,gpt54nano,345,0.2667,0.1754,0.0913,0.0464,0.1348,0.2348,0.629,True
9,DeepSeek-V4-Pro,GPT-5.5,345,0.2319,0.3014,-0.0696,-0.1072,-0.0304,0.142,0.6261,True
10,DeepSeek-V4-Pro,Gemini-3.1-Pro,345,0.2319,0.2449,-0.013,-0.0464,0.0217,0.1333,0.7188,False
11,DeepSeek-V4-Pro,Grok-4,345,0.2319,0.2159,0.0159,-0.0159,0.0507,0.1391,0.742,False
12,DeepSeek-V4-Pro,Llama-3.3-70B,345,0.2319,0.1464,0.0855,0.0435,0.1247,0.2145,0.6725,True
13,DeepSeek-V4-Pro,gpt41,97,0.2474,0.1701,0.0773,-0.0053,0.1598,0.2371,0.6289,False
14,DeepSeek-V4-Pro,gpt41nano,237,0.2278,0.154,0.0738,0.0232,0.1224,0.2194,0.6582,True
15,DeepSeek-V4-Pro,gpt54mini,345,0.2319,0.2217,0.0101,-0.0334,0.0522,0.1768,0.6377,False
16,DeepSeek-V4-Pro,gpt54nano,345,0.2319,0.1754,0.0565,0.0159,0.0957,0.1971,0.6609,True
17,GPT-5.5,Gemini-3.1-Pro,345,0.3014,0.2449,0.0565,0.0217,0.0942,0.2058,0.6725,True
18,GPT-5.5,Grok-4,345,0.3014,0.2159,0.0855,0.0478,0.1232,0.2319,0.6667,True
19,GPT-5.5,Llama-3.3-70B,345,0.3014,0.1464,0.1551,0.1188,0.1986,0.2899,0.6232,True
20,GPT-5.5,gpt41,97,0.3351,0.1701,0.1649,0.0876,0.2372,0.2784,0.6598,True
21,GPT-5.5,gpt41nano,237,0.2848,0.154,0.1308,0.0802,0.1793,0.27,0.6414,True
22,GPT-5.5,gpt54mini,345,0.3014,0.2217,0.0797,0.0377,0.1246,0.2377,0.6435,True
23,GPT-5.5,gpt54nano,345,0.3014,0.1754,0.1261,0.0899,0.1667,0.2667,0.6319,True
24,Gemini-3.1-Pro,Grok-4,345,0.2449,0.2159,0.029,-0.0044,0.0652,0.1681,0.7072,False
25,Gemini-3.1-Pro,Llama-3.3-70B,345,0.2449,0.1464,0.0986,0.0565,0.1377,0.2435,0.6464,True
26,Gemini-3.1-Pro,gpt41,97,0.2371,0.1701,0.067,-0.0206,0.1546,0.2165,0.6186,False
27,Gemini-3.1-Pro,gpt41nano,237,0.2489,0.154,0.0949,0.0443,0.1435,0.2363,0.654,True
28,Gemini-3.1-Pro,gpt54mini,345,0.2449,0.2217,0.0232,-0.0217,0.0638,0.1797,0.6435,False
29,Gemini-3.1-Pro,gpt54nano,345,0.2449,0.1754,0.0696,0.0275,0.1087,0.1971,0.6783,True
30,Grok-4,Llama-3.3-70B,345,0.2159,0.1464,0.0696,0.0304,0.1073,0.1913,0.7101,True
31,Grok-4,gpt41,97,0.1856,0.1701,0.0155,-0.067,0.0928,0.1753,0.6804,False
32,Grok-4,gpt41nano,237,0.2321,0.154,0.0781,0.0295,0.1287,0.2236,0.6709,True
33,Grok-4,gpt54mini,345,0.2159,0.2217,-0.0058,-0.0536,0.0362,0.1826,0.6261,False
34,Grok-4,gpt54nano,345,0.2159,0.1754,0.0406,0.0,0.0783,0.1768,0.6812,False
35,Llama-3.3-70B,gpt41,97,0.1598,0.1701,-0.0103,-0.0928,0.0722,0.1546,0.6598,False
36,Llama-3.3-70B,gpt41nano,237,0.1435,0.154,-0.0105,-0.0612,0.038,0.1519,0.6709,False
37,Llama-3.3-70B,gpt54mini,345,0.1464,0.2217,-0.0754,-0.1246,-0.0289,0.1449,0.6029,True
38,Llama-3.3-70B,gpt54nano,345,0.1464,0.1754,-0.029,-0.0696,0.0145,0.1478,0.6493,False
39,gpt41,gpt54mini,97,0.1701,0.1959,-0.0258,-0.0773,0.0309,0.0515,0.8454,False
40,gpt41,gpt54nano,97,0.1701,0.1753,-0.0052,-0.0567,0.0464,0.0825,0.8144,False
41,gpt41nano,gpt54mini,237,0.154,0.2321,-0.0781,-0.116,-0.0401,0.0464,0.7806,True
42,gpt41nano,gpt54nano,237,0.154,0.1709,-0.0169,-0.0464,0.0105,0.0591,0.8397,False
43,gpt54mini,gpt54nano,345,0.2217,0.1754,0.0464,0.0217,0.0725,0.1333,0.8058,True
