,model,level,residual,task,axis
36,gpt41nano,permissive,-0.54,village,frame
37,Llama-3.3-70B,selfish,-0.3989,village,frame
38,Claude-Opus-4.7,pro_social,-0.3786,village,frame
0,haiku35,prohibitive,-0.2817,bargaining,frame
3,Gemini-3.1-Pro,high,-0.2599,bargaining,incentive
15,gpt41nano,medium,-0.2584,committee,difficulty
16,Gemini-3.1-Pro,low,-0.2523,committee,difficulty
4,DeepSeek-V4-Pro,high,-0.2374,bargaining,incentive
5,GPT-5.5,high,-0.2288,bargaining,incentive
9,gpt41nano,permissive,-0.1984,committee,frame
1,Gemini-3.1-Pro,prohibitive,-0.1962,bargaining,frame
10,Gemini-3.1-Pro,prohibitive,-0.196,committee,frame
2,gpt41nano,permissive,-0.184,bargaining,frame
11,gpt41mini,permissive,-0.1778,committee,frame
39,gpt54nano,moderate,-0.1764,village,incentive
33,GPT-5.5,high,-0.1724,sales,difficulty
34,haiku35,low,-0.1716,sales,difficulty
17,Grok-4,low,-0.1655,committee,difficulty
40,Llama-3.3-70B,high,-0.1534,village,incentive
35,gpt41nano,high,-0.1502,sales,difficulty
