model,bargaining,committee,debate,sales,village,__sum__
Gemini-3.1-Pro,10.0,14.0,2.0,9.0,5.0,40.0
DeepSeek-V4-Pro,7.0,10.0,2.0,3.0,4.0,26.0
Grok-4,7.0,11.0,0.0,-4.0,5.0,19.0
haiku35,14.0,-9.0,,11.0,,16.0
GPT-5.5,8.0,3.0,8.0,-10.0,4.0,13.0
sonnet46,-7.0,8.0,,9.0,,10.0
sonnet37,-7.0,5.0,,8.0,,6.0
Llama-3.3-70B,0.0,3.0,-6.0,9.0,-4.0,2.0
Claude-Opus-4.7,-1.0,2.0,5.0,-8.0,-2.0,-4.0
gpt54mini,1.0,-4.0,1.0,-7.0,5.0,-4.0
gpt41mini,8.0,-10.0,,-5.0,-9.0,-16.0
gpt54nano,-7.0,-3.0,-5.0,-10.0,5.0,-20.0
gpt41,-7.0,-7.0,-1.0,-7.0,-4.0,-26.0
haiku45,-12.0,-9.0,,-5.0,,-26.0
gpt41nano,-14.0,-14.0,-6.0,7.0,-9.0,-36.0
